LFC,VE,VE_norm,LFC_norm
1.7421,0.05016892829758007,0.2215213974791809,0.15974336260488534
2.2053,0.021956038113510417,0.09614502837780346,0.20543618295279
2.2053,0.021956038113510417,0.09614502837780346,0.20543618295279
2.2053,0.021956038113510417,0.09614502837780346,0.20543618295279
5.1018,0.026517037916683105,0.11641383426982717,0.4911642791050047
8.004,0.15608844156667437,0.6922212762942418,0.7774546573728995
8.4889,0.1497789579551839,0.6641823146369213,0.8252880955997971
2.7466,0.011682702861011135,0.05049095096439377,0.2588332547453651
4.2425,0.026950540634204163,0.11834029399670264,0.40639778401658827
4.2425,0.027496161454032546,0.12076499975530747,0.40639778401658827
9.4194,0.17637260501992705,0.7823628657391851,0.9170781848349554
