id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RORA	10	0.15958	0.55817	1.0	276	4	-0.11723	0.75269	0.89464	1.0	556	3	-0.11723
HMBOX1	85	0.15969	0.91125	1.0	277	29	-0.031852	0.92476	0.99805	1.0	588	23	-0.031852
MLXIPL	71	0.16243	0.88846	1.0	278	17	0.38932	0.05838	0.29032	0.772636	210	33	0.38932
MNX1	923	0.16333	0.93129	1.0	279	292	0.21285	0.14915	0.52397	0.898349	328	349	0.21285
TEF	4	0.16337	0.36759	1.0	280	2	-0.57594	0.85149	0.83919	1.0	569	1	-0.57594
HOXA2	218	0.16398	0.93223	1.0	281	72	0.22082	0.54869	0.92548	1.0	497	75	0.22082
EVX2	218	0.16398	0.93223	1.0	282	72	0.22082	0.54869	0.92548	1.0	496	75	0.22082
HOXA1	218	0.16398	0.93223	1.0	283	72	0.22082	0.54869	0.92548	1.0	494	75	0.22082
PDX1	218	0.16398	0.93223	1.0	284	72	0.22082	0.54869	0.92548	1.0	495	75	0.22082
HOXC8	218	0.16398	0.93223	1.0	285	72	0.22082	0.54869	0.92548	1.0	499	75	0.22082
HOXB5	218	0.16398	0.93223	1.0	286	72	0.22082	0.54869	0.92548	1.0	500	75	0.22082
HOXB3	218	0.16398	0.93223	1.0	287	72	0.22082	0.54869	0.92548	1.0	502	75	0.22082
EMX1	218	0.16398	0.93223	1.0	288	72	0.22082	0.54869	0.92548	1.0	505	75	0.22082
GSX1	218	0.16398	0.93223	1.0	289	72	0.22082	0.54869	0.92548	1.0	501	75	0.22082
EVX1	218	0.16398	0.93223	1.0	290	72	0.22082	0.54869	0.92548	1.0	498	75	0.22082
LHX8	218	0.16398	0.93223	1.0	291	72	0.22082	0.54869	0.92548	1.0	504	75	0.22082
DRGX	218	0.16398	0.93223	1.0	292	72	0.22082	0.54869	0.92548	1.0	493	75	0.22082
LHX4	218	0.16398	0.93223	1.0	293	72	0.22082	0.54869	0.92548	1.0	503	75	0.22082
EMX2	218	0.16398	0.93223	1.0	294	72	0.22082	0.54869	0.92548	1.0	506	75	0.22082
ZNF549	248	0.16489	0.93256	1.0	295	81	0.14392	0.20684	0.65677	0.987084	358	97	0.14392
ESX1	249	0.16685	0.93345	1.0	296	79	0.23642	0.59697	0.94267	1.0	523	89	0.23642
GFI1	2	0.17255	0.2938	1.0	297	1	0.50133	0.26307	0.31615	0.778183	385	1	0.50133
FOXC2	10	0.17287	0.56992	1.0	298	3	0.025923	0.59558	0.81636	1.0	522	3	0.025923
HOXA10	5	0.17383	0.4443	1.0	299	1	1.2418	0.086813	0.20439	0.703447	236	4	1.2418
KLF16	44	0.17386	0.83476	1.0	300	13	0.15402	0.0094684	0.089386	0.450595	96	18	0.15402
HES2	46	0.17394	0.84358	1.0	301	13	0.36559	0.10018	0.3954	0.860577	269	18	0.36559
ZFX	103	0.17522	0.93694	1.0	302	32	0.14332	0.10922	0.44415	0.881816	277	42	0.14332
